ac4
Or2a
Or7a
Or9a
Or10a
Or13a
Or19a
Or22a
Or23a
Or33b
Or35a
Or42b
Or43a
Or43b
Or47a
Or47b
Or49b
Or59b
Or65a
Or67a
Or67b
Or67c
Or82a
Or85a
Or85b
Or85f
Or88a
Or92a
Or98a
Gr21a.Gr63a
ab4B
Or69a
ac1
ac2
ac3_noOr35a
Or83c
,7,0.022667
,9,0.002
,10,0.052
,11,0.011333
,12,-0.0083333
,13,0.048667
,14,0.078333
,15,0.049667
,18,-0.011667
,22,0.024333
,24,0.053667
,26,-0.018667
,27,-0.050333
,28,0.003
,32,0.011333
,33,-0.015667
,35,0.01
,37,-0.012667
,39,-0.008
,40,0.060333
,41,0.033333
,42,0.026333
,46,0.049667
,47,-0.0023333
,48,0.083667
,52,0.004
,53,0.010667
,54,-0.015333
,57,0.21567
,58,0.067667
,60,0.051333
,63,0.39733
,64,0.052667
,65,0.0093333
,66,0.071333
,78,0.030667
